,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,job_category,years_of_experience
0,2024,MI,FT,Analytics Engineer,77500,CAD,59615,CA,100,CA,S,Data Engineering,2
1,2024,SE,FT,AI Developer,252000,USD,252000,US,0,US,M,Artificial_Intelligence,6
2,2024,SE,FT,AI Developer,168000,USD,168000,US,0,US,M,Artificial_Intelligence,9
3,2024,MI,FT,Data Scientist,199500,USD,199500,US,100,US,M,Data Science,3
4,2024,MI,FT,Data Scientist,86700,USD,86700,US,100,US,M,Data Science,2
5,2024,SE,FT,Research Engineer,180000,USD,180000,US,0,US,S,Other,8
6,2024,SE,FT,Research Engineer,160000,USD,160000,US,0,US,S,Other,9
7,2024,SE,FT,Research Scientist,238600,USD,238600,US,0,US,M,Data Science,5
8,2024,SE,FT,Research Scientist,112000,USD,112000,US,0,US,M,Data Science,8
9,2024,SE,FT,Data Scientist,304000,USD,304000,US,0,US,M,Data Science,6
10,2024,SE,FT,Data Scientist,190000,USD,190000,US,0,US,M,Data Science,8
11,2024,SE,FT,Data Scientist,137000,USD,137000,US,0,US,M,Data Science,5
12,2024,SE,FT,Data Scientist,80500,USD,80500,US,0,US,M,Data Science,9
13,2024,SE,FT,Research Scientist,128000,USD,128000,US,100,US,M,Data Science,6
14,2024,SE,FT,Research Scientist,93000,USD,93000,US,100,US,M,Data Science,5
15,2024,MI,FT,Data Scientist,250800,USD,250800,US,100,US,M,Data Science,2
16,2024,MI,FT,Data Scientist,167200,USD,167200,US,100,US,M,Data Science,3
17,2024,SE,FT,Data Engineer,266482,USD,266482,US,0,US,M,Data Engineering,7
18,2024,SE,FT,Data Engineer,166551,USD,166551,US,0,US,M,Data Engineering,5
19,2024,SE,FT,Data Analyst,181610,USD,181610,CA,0,CA,M,Other,7
20,2024,SE,FT,Data Analyst,112200,USD,112200,CA,0,CA,M,Other,7
21,2024,MI,FT,Data Engineer,150000,USD,150000,US,0,US,M,Data Engineering,2
22,2024,MI,FT,Data Engineer,130000,USD,130000,US,0,US,M,Data Engineering,3
