,work_year,experience_level,employment_type,job_title,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,years_of_experience,job_category
0,2024,Mid level,Full time,Analytics Engineer,59615,CA,Full Remote,CA,Small,3,Data Engineering
1,2024,Senior,Full time,AI Developer,252000,US,On Site,US,Medium,8,Artificial_Intelligence
2,2024,Senior,Full time,AI Developer,168000,US,On Site,US,Medium,7,Artificial_Intelligence
3,2024,Mid level,Full time,Data Scientist,199500,US,Full Remote,US,Medium,2,Data Science
4,2024,Mid level,Full time,Data Scientist,86700,US,Full Remote,US,Medium,3,Data Science
5,2024,Senior,Full time,Research Engineer,180000,US,On Site,US,Small,9,Other
6,2024,Senior,Full time,Research Engineer,160000,US,On Site,US,Small,8,Other
7,2024,Senior,Full time,Research Scientist,238600,US,On Site,US,Medium,9,Data Science
8,2024,Senior,Full time,Research Scientist,112000,US,On Site,US,Medium,8,Data Science
9,2024,Senior,Full time,Data Scientist,304000,US,On Site,US,Medium,6,Data Science
10,2024,Senior,Full time,Data Scientist,190000,US,On Site,US,Medium,8,Data Science
11,2024,Senior,Full time,Data Scientist,137000,US,On Site,US,Medium,8,Data Science
12,2024,Senior,Full time,Data Scientist,80500,US,On Site,US,Medium,7,Data Science
13,2024,Senior,Full time,Research Scientist,128000,US,Full Remote,US,Medium,7,Data Science
14,2024,Senior,Full time,Research Scientist,93000,US,Full Remote,US,Medium,9,Data Science
15,2024,Mid level,Full time,Data Scientist,250800,US,Full Remote,US,Medium,2,Data Science
16,2024,Mid level,Full time,Data Scientist,167200,US,Full Remote,US,Medium,2,Data Science
17,2024,Senior,Full time,Data Engineer,266482,US,On Site,US,Medium,5,Data Engineering
18,2024,Senior,Full time,Data Engineer,166551,US,On Site,US,Medium,6,Data Engineering
19,2024,Senior,Full time,Data Analyst,181610,CA,On Site,CA,Medium,7,Other
20,2024,Senior,Full time,Data Analyst,112200,CA,On Site,CA,Medium,5,Other
21,2024,Mid level,Full time,Data Engineer,150000,US,On Site,US,Medium,3,Data Engineering
22,2024,Mid level,Full time,Data Engineer,130000,US,On Site,US,Medium,3,Data Engineering
23,2024,Mid level,Full time,Applied Scientist,222200,US,On Site,US,Large,2,Data Science
24,2024,Mid level,Full time,Applied Scientist,136000,US,On Site,US,Large,2,Data Science
25,2024,Senior,Full time,Machine Learning Engineer,500000,US,On Site,US,Medium,9,Machine Learning
26,2024,Senior,Full time,Machine Learning Engineer,100000,US,On Site,US,Medium,7,Machine Learning
27,2024,Senior,Full time,Data Architect,175000,US,On Site,US,Medium,9,Data Architecture
28,2024,Senior,Full time,Data Architect,117000,US,On Site,US,Medium,7,Data Architecture
